iso,country,region,year,population,life_expectancy,gdp_cap
ALB,Albania,Southern Europe,2003,3118017,75.41,6607.768438080998
ALB,Albania,Southern Europe,2004,3104893,75.6,7001.054940701661
ALB,Albania,Southern Europe,2005,3086810,76,7426.116354100188
ALB,Albania,Southern Europe,2006,3063021,76.36,7914.036823776265
ALB,Albania,Southern Europe,2007,3033993,76.91,8450.919272391202
ALB,Albania,Southern Europe,2008,3002683,77.03,9154.71487166644
ALB,Albania,Southern Europe,2009,2973044,77.45,9525.37237457636
ALB,Albania,Southern Europe,2010,2948029,77.64,9927.6313333417
ALB,Albania,Southern Europe,2011,2928601,77.73,10207.753519171782
ALB,Albania,Southern Europe,2012,2914091,77.83,10369.562384976996
ALB,Albania,Southern Europe,2013,2903788,77.91,10492.670315119423
ALB,Albania,Southern Europe,2014,2896307,77.92,10700.52280231343
ALB,Albania,Southern Europe,2015,2890524,78.02,10971.046329316068
ALB,Albania,Southern Europe,2016,2886427,78.12,11356.719009349621
ALB,Albania,Southern Europe,2017,2884169,78.23,11803.28388350336
ALB,Albania,Southern Europe,2018,2882735,78.35,12306.262210019304
ALB,Albania,Southern Europe,2019,2880913,78.47,12693.560754524695
ALB,Albania,Southern Europe,2020,2877800,78.58,13225.18422058517
DZA,Algeria,Northern Africa,1950,8872250,47.25,4641.712658232128
DZA,Algeria,Northern Africa,1951,9023263,47.54,4647.962489844306
DZA,Algeria,Northern Africa,1952,9186150,48.05,4813.731243774596
DZA,Algeria,Northern Africa,1953,9364381,48.57,4854.685291638604
DZA,Algeria,Northern Africa,1954,9560147,49.1,5165.023294516287
DZA,Algeria,Northern Africa,1955,9774280,49.64,5261.9789006453675
DZA,Algeria,Northern Africa,1956,10006145,50.19,5726.821728547808
DZA,Algeria,Northern Africa,1957,10253777,50.76,6322.531447582681
DZA,Algeria,Northern Africa,1958,10514077,51.33,6496.157856842783
DZA,Algeria,Northern Africa,1959,10783228,51.92,7623.348637810496
DZA,Algeria,Northern Africa,1960,11057864,52.5,8076.764074508422
DZA,Algeria,Northern Africa,1961,11336336,53.1,7782.237146111407
DZA,Algeria,Northern Africa,1962,11619828,53.69,4909.02549521387
DZA,Algeria,Northern Africa,1963,11912800,54.28,6028.690139597744
DZA,Algeria,Northern Africa,1964,12221675,54.87,6455.7814539332785
DZA,Algeria,Northern Africa,1965,12550880,55.44,6849.176409622273
DZA,Algeria,Northern Africa,1966,12902626,55.99,6207.022283680857
DZA,Algeria,Northern Africa,1967,13275020,56.53,6698.542097337707
DZA,Algeria,Northern Africa,1968,13663581,57.05,7199.787020401167
DZA,Algeria,Northern Africa,1969,14061724,57.56,7574.320190042132
DZA,Algeria,Northern Africa,1970,14464992,58.09,8072.5934725715715
DZA,Algeria,Northern Africa,1971,14872253,58.36,7167.979189165219
DZA,Algeria,Northern Africa,1972,15285992,58.77,8411.622876683437
DZA,Algeria,Northern Africa,1973,15709831,59.16,8425.106546340314
DZA,Algeria,Northern Africa,1974,16149018,59.68,8667.214316065534
DZA,Algeria,Northern Africa,1975,16607706,60.12,8992.090780027054
DZA,Algeria,Northern Africa,1976,17085799,60.62,9287.596090765202
DZA,Algeria,Northern Africa,1977,17582899,61.21,9810.157016769534
DZA,Algeria,Northern Africa,1978,18102266,61.81,10719.983895938774
DZA,Algeria,Northern Africa,1979,18647801,62.5,11321.12038304141
DZA,Algeria,Northern Africa,1980,19221659,62.78,11163.812655296819
DZA,Algeria,Northern Africa,1981,19824297,64.03,11074.995496687727
DZA,Algeria,Northern Africa,1982,20452901,65.08,11401.121043904725
DZA,Algeria,Northern Africa,1983,21101875,66.36,11601.243965287445
DZA,Algeria,Northern Africa,1984,21763578,67.56,11848.189668077555
DZA,Algeria,Northern Africa,1985,22431507,68.74,12071.279918910486
DZA,Algeria,Northern Africa,1986,23102386,69.45,11599.018387105125
DZA,Algeria,Northern Africa,1987,23774287,70.16,11199.368460555726
DZA,Algeria,Northern Africa,1988,24443472,70.77,10662.969646865224
DZA,Algeria,Northern Africa,1989,25106192,71.29,10731.336715659627
DZA,Algeria,Northern Africa,1990,25758872,71.74,10297.849999021697
DZA,Algeria,Northern Africa,1991,26400468,72.16,9927.0209906885
DZA,Algeria,Northern Africa,1992,27028330,72.46,9870.939122024927
DZA,Algeria,Northern Africa,1993,27635517,72.7,9451.315855607116
DZA,Algeria,Northern Africa,1994,28213777,72.77,9174.312251776853
DZA,Algeria,Northern Africa,1995,28757788,72.93,9342.790898938403
DZA,Algeria,Northern Africa,1996,29266415,73.35,9556.79060793746
DZA,Algeria,Northern Africa,1997,29742980,73.2,9507.117309697953
DZA,Algeria,Northern Africa,1998,30192750,73.54,9843.12459116841
DZA,Algeria,Northern Africa,1999,30623406,73.9,10015.247814041326
DZA,Algeria,Northern Africa,2000,31042238,73.96,10257.507851076974
DZA,Algeria,Northern Africa,2001,31451513,74.22,10428.62389481867
DZA,Algeria,Northern Africa,2002,31855110,74.51,10874.048151144354
DZA,Algeria,Northern Africa,2003,32264159,74.56,11509.396541220864
DZA,Algeria,Northern Africa,2004,32692153,75.04,11847.3078233789
DZA,Algeria,Northern Africa,2005,33149720,75.29,12374.04116837186
DZA,Algeria,Northern Africa,2006,33641007,75.49,12398.737053263596
DZA,Algeria,Northern Africa,2007,34166976,75.65,12619.61257560517
DZA,Algeria,Northern Africa,2008,34730604,75.89,12707.841188134822
DZA,Algeria,Northern Africa,2009,35333882,76.09,12694.755702189757
DZA,Algeria,Northern Africa,2010,35977451,76.33,12920.75972808635
DZA,Algeria,Northern Africa,2011,36661438,76.52,13046.378595405886
DZA,Algeria,Northern Africa,2012,37383899,76.77,13226.014761060638
DZA,Algeria,Northern Africa,2013,38140135,76.88,13322.580006599348
DZA,Algeria,Northern Africa,2014,38923688,76.95,13549.024439821838
DZA,Algeria,Northern Africa,2015,39728020,77.12,13774.308410034026
DZA,Algeria,Northern Africa,2016,40551398,77.4,13939.938642805853
DZA,Algeria,Northern Africa,2017,41389174,77.74,13876.285620002951
DZA,Algeria,Northern Africa,2018,42228415,77.93,13886.123833916097
DZA,Algeria,Northern Africa,2019,43053054,78.12,13967.417967608058
DZA,Algeria,Northern Africa,2020,43851043,78.31,14039.620448708598
AND,Andorra,Southern Europe,1993,60974,79.31,26011
AND,Andorra,Southern Europe,1994,62676,79.47,25907
AND,Andorra,Southern Europe,1995,63860,79.74,26143
AND,Andorra,Southern Europe,1996,64363,80.03,27180
AND,Andorra,Southern Europe,1997,64318,80.35,29729
AND,Andorra,Southern Europe,1998,64140,80.64,30819
AND,Andorra,Southern Europe,1999,64368,80.91,31940
AND,Andorra,Southern Europe,2000,65390,81.15,31662
AND,Andorra,Southern Europe,2001,67344,81.36,31794
AND,Andorra,Southern Europe,2002,70048,81.56,31866
AND,Andorra,Southern Europe,2003,73180,81.67,34500
AND,Andorra,Southern Europe,2004,76250,81.7,36330
AND,Andorra,Southern Europe,2005,78871,81.82,39787
AND,Andorra,Southern Europe,2006,80995,81.98,42738
AND,Andorra,Southern Europe,2007,82682,82.1,43442
AND,Andorra,Southern Europe,2008,83860,82.18,41426
AND,Andorra,Southern Europe,2009,84461,82.22,41735
AND,Andorra,Southern Europe,2010,84454,82.29,38982
AND,Andorra,Southern Europe,2011,83748,82.37,41958
AND,Andorra,Southern Europe,2012,82427,82.41,41926
AND,Andorra,Southern Europe,2013,80770,82.46,43735
AND,Andorra,Southern Europe,2014,79213,82.52,44930
AND,Andorra,Southern Europe,2015,77993,82.62,46578
AND,Andorra,Southern Europe,2016,77295,82.66,48186
AND,Andorra,Southern Europe,2017,76997,82.7,49768
AND,Andorra,Southern Europe,2018,77008,NA,51494
AND,Andorra,Southern Europe,2019,77146,NA,53245
AND,Andorra,Southern Europe,2020,77265,NA,55047
AGO,Angola,Middle Africa,1950,4548021,35.16,3180
AGO,Angola,Middle Africa,1951,4616552,35.48,3260
AGO,Angola,Middle Africa,1952,4713160,36.03,3342
AGO,Angola,Middle Africa,1953,4823330,36.59,3423
AGO,Angola,Middle Africa,1954,4935956,37.15,3288
AGO,Angola,Middle Africa,1955,5043251,37.71,3506
AGO,Angola,Middle Africa,1956,5140910,38.27,3395
AGO,Angola,Middle Africa,1957,5228005,38.84,3669
AGO,Angola,Middle Africa,1958,5306538,39.41,3809
AGO,Angola,Middle Africa,1959,5380718,39.99,3769
AGO,Angola,Middle Africa,1960,5454938,40.56,3861
AGO,Angola,Middle Africa,1961,5531451,41.14,4312.984575294981
AGO,Angola,Middle Africa,1962,5608499,41.72,4133.722190197413
AGO,Angola,Middle Africa,1963,5679409,42.31,4283.658577503399
AGO,Angola,Middle Africa,1964,5734995,42.89,4695.0838012936365
AGO,Angola,Middle Africa,1965,5770573,43.48,4974.460610410786
AGO,Angola,Middle Africa,1966,5781305,44.07,5186.781925534114
AGO,Angola,Middle Africa,1967,5774440,44.67,5408.176379181358
AGO,Angola,Middle Africa,1968,5771973,45.27,5247.416530881208
AGO,Angola,Middle Africa,1969,5803677,45.87,5318.248415271904
AGO,Angola,Middle Africa,1970,5890360,46.47,5569.689069938
AGO,Angola,Middle Africa,1971,6041239,46.69,5794.059183885955
AGO,Angola,Middle Africa,1972,6248965,46.87,5686.9084693225195
AGO,Angola,Middle Africa,1973,6497283,47.09,6012.232362973877
AGO,Angola,Middle Africa,1974,6761623,47.29,6055.194148653363
AGO,Angola,Middle Africa,1975,7023994,47.24,5614.554614511345
AGO,Angola,Middle Africa,1976,7279630,47.22,5007.625524786287
AGO,Angola,Middle Africa,1977,7533814,47.28,4954.887023757156
AGO,Angola,Middle Africa,1978,7790774,47.39,5073.515272295153
AGO,Angola,Middle Africa,1979,8058112,47.47,5078.960659271055
AGO,Angola,Middle Africa,1980,8341290,47.6,5112.087085330926
AGO,Angola,Middle Africa,1981,8640478,47.66,4924.77674776789
AGO,Angola,Middle Africa,1982,8952971,47.7,4611.608797236136
AGO,Angola,Middle Africa,1983,9278104,47.73,4337.321711095284
AGO,Angola,Middle Africa,1984,9614756,47.83,4254.676038788712
AGO,Angola,Middle Africa,1985,9961993,47.92,4208.289682998171
AGO,Angola,Middle Africa,1986,10320116,47.89,3760.2777209093388
AGO,Angola,Middle Africa,1987,10689247,47.67,4128.5875749713705
AGO,Angola,Middle Africa,1988,11068051,47.46,4648.9931598616595
AGO,Angola,Middle Africa,1989,11454784,47.83,4666.571130629787
AGO,Angola,Middle Africa,1990,11848385,47.87,4761.229637963317
AGO,Angola,Middle Africa,1991,12248901,48.5,4651.204298573399
AGO,Angola,Middle Africa,1992,12657361,48.56,4238.31841898165
AGO,Angola,Middle Africa,1993,13075044,47.29,3118.9034882788924
AGO,Angola,Middle Africa,1994,13503753,48.66,3060.3362073491717
AGO,Angola,Middle Africa,1995,13945205,49.53,3407.9745235010887
AGO,Angola,Middle Africa,1996,14400722,50.09,3747.1640042770077
AGO,Angola,Middle Africa,1997,14871572,50.17,3892.473419689593
AGO,Angola,Middle Africa,1998,15359600,49.25,3945.5949302716217
AGO,Angola,Middle Africa,1999,15866871,50.72,3902.7741956810514
AGO,Angola,Middle Africa,2000,16395477,51.66,3892.3169253935093
AGO,Angola,Middle Africa,2001,16945753,52.41,3924.316196217424
AGO,Angola,Middle Africa,2002,17519418,53.52,4314.540938175001
AGO,Angola,Middle Africa,2003,18121477,54.22,4295.9085688214045
AGO,Angola,Middle Africa,2004,18758138,54.77,4604.657043892096
AGO,Angola,Middle Africa,2005,19433604,55.72,5112.589201673555
AGO,Angola,Middle Africa,2006,20149905,56.37,5500.224442745512
AGO,Angola,Middle Africa,2007,20905360,57.51,6044.239372103613
AGO,Angola,Middle Africa,2008,21695636,58.39,6474.389596138136
AGO,Angola,Middle Africa,2009,22514275,59.15,6292.541065612817
AGO,Angola,Middle Africa,2010,23356247,59.94,6360.439671664715
AGO,Angola,Middle Africa,2011,24220660,60.63,6346.400139385137
AGO,Angola,Middle Africa,2012,25107925,61.26,6645.073218913948
AGO,Angola,Middle Africa,2013,26015786,61.91,6730.951738302276
AGO,Angola,Middle Africa,2014,26941773,62.75,6813.063119491059
AGO,Angola,Middle Africa,2015,27884380,63.29,6644.867126326639
AGO,Angola,Middle Africa,2016,28842482,63.76,6258.37263242463
AGO,Angola,Middle Africa,2017,29816769,64.19,6044.98763766121
AGO,Angola,Middle Africa,2018,30809787,64.61,5725.323579809234
AGO,Angola,Middle Africa,2019,31825299,65,5543.859933570459
AGO,Angola,Middle Africa,2020,32866268,65.36,5444.427094673481
ATG,Antigua and Barbuda,Caribbean America,1967,61240,66.23,5587.934879163945
ATG,Antigua and Barbuda,Caribbean America,1968,62523,66.6,5777.304128080867
ATG,Antigua and Barbuda,Caribbean America,1969,63553,66.97,5972.728714616147
ATG,Antigua and Barbuda,Caribbean America,1970,64184,67.33,6174.31660538452
ATG,Antigua and Barbuda,Caribbean America,1971,64354,67.72,6553.790114056625
ATG,Antigua and Barbuda,Caribbean America,1972,64134,68.11,6962.998284841114
ATG,Antigua and Barbuda,Caribbean America,1973,63649,68.54,7486.153152445443
ATG,Antigua and Barbuda,Caribbean America,1974,63108,68.75,7679.9934398174555
ATG,Antigua and Barbuda,Caribbean America,1975,62671,68.92,7210.516331317515
ATG,Antigua and Barbuda,Caribbean America,1976,62353,69.12,6526.799897358587
ATG,Antigua and Barbuda,Caribbean America,1977,62162,69.47,6970.544239245842
ATG,Antigua and Barbuda,Caribbean America,1978,62038,69.85,7197.937602759599
ATG,Antigua and Barbuda,Caribbean America,1979,61948,70.49,7979.545570478465
ATG,Antigua and Barbuda,Caribbean America,1980,61861,71.08,8554.637574562325
ATG,Antigua and Barbuda,Caribbean America,1981,61789,71.59,9055.608409263785
ATG,Antigua and Barbuda,Caribbean America,1982,61780,72.06,9200.990579475558
ATG,Antigua and Barbuda,Caribbean America,1983,61779,72.58,9976.47745997831
ATG,Antigua and Barbuda,Caribbean America,1984,61784,72.78,10896.889307911433
ATG,Antigua and Barbuda,Caribbean America,1985,61785,73.01,11941.307048636401
ATG,Antigua and Barbuda,Caribbean America,1986,61754,73.33,13174.900621822067
ATG,Antigua and Barbuda,Caribbean America,1987,61713,73.65,14576.192115113508
ATG,Antigua and Barbuda,Caribbean America,1988,61758,73.85,15919.25972343664
ATG,Antigua and Barbuda,Caribbean America,1989,62007,74.03,16921.721273404615
ATG,Antigua and Barbuda,Caribbean America,1990,62533,74.3,17472.946476260535
ATG,Antigua and Barbuda,Caribbean America,1991,63363,74.54,17616.926676451556
ATG,Antigua and Barbuda,Caribbean America,1992,64459,74.44,17515.821948835695
ATG,Antigua and Barbuda,Caribbean America,1993,65777,74.31,18074.531021481675
ATG,Antigua and Barbuda,Caribbean America,1994,67201,74.25,18871.80732429577
ATG,Antigua and Barbuda,Caribbean America,1995,68672,74.12,17663.771362418454
ATG,Antigua and Barbuda,Caribbean America,1996,70176,74.22,18427.11184735522
ATG,Antigua and Barbuda,Caribbean America,1997,71707,74.38,19020.30772448994
ATG,Antigua and Barbuda,Caribbean America,1998,73219,74.52,19506.709856731177
ATG,Antigua and Barbuda,Caribbean America,1999,74674,74.6,19837.17734418941
ATG,Antigua and Barbuda,Caribbean America,2000,76007,74.72,20790.986001289355
ATG,Antigua and Barbuda,Caribbean America,2001,77212,74.94,19454.890910739265
ATG,Antigua and Barbuda,Caribbean America,2002,78298,75.18,19382.266801195434
ATG,Antigua and Barbuda,Caribbean America,2003,79311,75.43,20295.907137723643
ATG,Antigua and Barbuda,Caribbean America,2004,80347,75.61,21183.426860990454
ATG,Antigua and Barbuda,Caribbean America,2005,81462,75.85,22229.39377869436
ATG,Antigua and Barbuda,Caribbean America,2006,82715,76.01,24683.453533216467
ATG,Antigua and Barbuda,Caribbean America,2007,84029,76.28,26544.688976424804
ATG,Antigua and Barbuda,Caribbean America,2008,85394,76.43,26110.658805068273
ATG,Antigua and Barbuda,Caribbean America,2009,86743,76.59,22592.41332441811
ATG,Antigua and Barbuda,Caribbean America,2010,88030,76.61,20660.41827785982
ATG,Antigua and Barbuda,Caribbean America,2011,89250,76.66,19953.192773109244
ATG,Antigua and Barbuda,Caribbean America,2012,90407,76.74,20388.798654971408
ATG,Antigua and Barbuda,Caribbean America,2013,91510,76.82,20121.250136597093
ATG,Antigua and Barbuda,Caribbean America,2014,92562,76.77,20820.551057669454
ATG,Antigua and Barbuda,Caribbean America,2015,93571,76.87,21426.324929732502
ATG,Antigua and Barbuda,Caribbean America,2016,94520,76.97,22393.996148963182
ATG,Antigua and Barbuda,Caribbean America,2017,95425,77.02,22855.74802200681
ATG,Antigua and Barbuda,Caribbean America,2018,96282,77.15,23768.478438337384
ATG,Antigua and Barbuda,Caribbean America,2019,97115,77.28,24463.415373526233
ATG,Antigua and Barbuda,Caribbean America,2020,97928,77.41,25007.041969610327
ARG,Argentina,South America,1950,17037910,60.76,8758.9968487919
ARG,Argentina,South America,1951,17390378,61.06,8911.019645461416
ARG,Argentina,South America,1952,17742980,61.64,8285.981272593443
ARG,Argentina,South America,1953,18094290,62.16,8561.982813362669
ARG,Argentina,South America,1954,18443313,62.62,8747.018499333606
ARG,Argentina,South America,1955,18789415,63.02,9199.009122955664
ARG,Argentina,South America,1956,19132405,63.37,9283.98703665326
ARG,Argentina,South America,1957,19472473,63.66,9592.0020020056
ARG,Argentina,South America,1958,19810165,63.9,10009.002953786605
ARG,Argentina,South America,1959,20146307,64.09,9206.997590178686
ARG,Argentina,South America,1960,20481781,64.24,9765.019946263463
ARG,Argentina,South America,1961,20817270,64.35,10299.189086753451
ARG,Argentina,South America,1962,21153042,64.43,9976.295607979222
ARG,Argentina,South America,1963,21488916,64.5,9589.176112931895
ARG,Argentina,South America,1964,21824427,64.57,10417.95965593965
ARG,Argentina,South America,1965,22159644,64.65,11202.030140917426
ARG,Argentina,South America,1966,22494031,64.76,11116.32681576726
ARG,Argentina,South America,1967,22828872,64.91,11256.885578928297
ARG,Argentina,South America,1968,23168268,65.09,11573.847471032363
ARG,Argentina,South America,1969,23517613,65.31,12384.887871060724
ARG,Argentina,South America,1970,23880564,65.56,12853.54902003152
ARG,Argentina,South America,1971,24259564,65.85,13258.234978996325
ARG,Argentina,South America,1972,24653172,66.19,13444.557966009404
ARG,Argentina,South America,1973,25056475,66.63,14025.07735026575
ARG,Argentina,South America,1974,25462305,66.99,14683.038318801067
ARG,Argentina,South America,1975,25865775,67.55,14313.972807696657
ARG,Argentina,South America,1976,26264681,67.97,14039.081609253126
ARG,Argentina,South America,1977,26661397,68.41,14640.268099979907
ARG,Argentina,South America,1978,27061041,69.05,13767.023966299006
ARG,Argentina,South America,1979,27471046,69.59,14509.968058733548
ARG,Argentina,South America,1980,27896532,70.07,14475.921236374472
ARG,Argentina,South America,1981,28338514,70.37,13421.27537103745
ARG,Argentina,South America,1982,28794550,70.77,12787.142011248656
ARG,Argentina,South America,1983,29262049,70.84,13040.098456536656
ARG,Argentina,South America,1984,29737097,71.15,13111.266375463618
ARG,Argentina,South America,1985,30216284,71.55,12070.478289123837
ARG,Argentina,South America,1986,30698964,71.81,12759.876847961385
